step	acc
39	0.06174229830503464
79	0.10117030143737793
119	0.11603859812021255
159	0.12362441420555115
199	0.1315021812915802
239	0.14503104984760284
279	0.15600302815437317
319	0.16332578659057617
359	0.17358854413032532
399	0.1884743869304657
439	0.19229036569595337
479	0.2001553773880005
519	0.20219483971595764
559	0.20573024451732635
599	0.20869091153144836
639	0.21076029539108276
679	0.21511830389499664
719	0.21809612214565277
759	0.21996328234672546
799	0.2232322245836258
839	0.22588324546813965
879	0.2285289764404297
919	0.229073166847229
959	0.23341186344623566
999	0.23749080300331116
1039	0.2356758862733841
1079	0.23970969021320343
1119	0.24207788705825806
1159	0.238389253616333
1199	0.24300390481948853
1239	0.24511756002902985
1279	0.24283777177333832
1319	0.24794934689998627
1359	0.24477368593215942
1399	0.25067898631095886
1439	0.25123393535614014
1479	0.254239946603775
1519	0.24822407960891724
1559	0.2564728558063507
1599	0.25635185837745667
1639	0.2573898732662201
1679	0.2573779821395874
1719	0.25814157724380493
1759	0.25423240661621094
1799	0.26073989272117615
1839	0.25767606496810913
1879	0.2607322633266449
1919	0.2577425241470337
1959	0.25881582498550415
1999	0.26285332441329956
2039	0.2564060091972351
2079	0.2583027780056
2119	0.2643330991268158
2159	0.2611016035079956
2199	0.26192784309387207
2239	0.2623014748096466
2279	0.26319262385368347
2319	0.26149117946624756
2359	0.26043885946273804
2399	0.260200560092926
2439	0.2643910050392151
2479	0.26260626316070557
2519	0.26544520258903503
2559	0.2609596848487854
2599	0.2624393403530121
2639	0.26548439264297485
2679	0.2663062810897827
2719	0.26700645685195923
2759	0.2706514298915863
2799	0.2646288275718689
2839	0.26499783992767334
2879	0.2679469883441925
2919	0.2666598856449127
2959	0.26819178462028503
2999	0.2685980200767517
3039	0.26672619581222534
3079	0.2706138789653778
3119	0.27020499110221863
3159	0.2666667103767395
3199	0.2710177004337311
3239	0.2725493609905243
3279	0.2683168947696686
3319	0.26908543705940247
3359	0.2658690810203552
3399	0.272662490606308
3439	0.2740355432033539
3479	0.27263906598091125
3519	0.26719266176223755
3559	0.27032843232154846
3599	0.2756969630718231
3639	0.2702605128288269
3679	0.27287450432777405
3719	0.2734764814376831
3759	0.27281925082206726
3799	0.2700656056404114
3839	0.27394914627075195
3879	0.2692961096763611
3919	0.26961562037467957
3959	0.26862832903862
3999	0.27200278639793396
4039	0.2732766568660736
4079	0.27390244603157043
4119	0.2741175591945648
4159	0.2700749635696411
4199	0.27068865299224854
4239	0.26983967423439026
4279	0.27297571301460266
4319	0.2727358043193817
4359	0.27261117100715637
4399	0.2736874520778656
4439	0.271871954202652
4479	0.27110883593559265
4519	0.2737801969051361
4559	0.27679765224456787
4599	0.2733674645423889
4639	0.2720365822315216
4679	0.27639898657798767
4719	0.2742745578289032
4759	0.2745099663734436
4799	0.2750812768936157
4839	0.274982213973999
4879	0.2751302123069763
4919	0.2741081416606903
4959	0.2740815281867981
4999	0.2757594883441925
5039	0.2762655019760132
5079	0.27589166164398193
5119	0.2770196199417114
5159	0.27656006813049316
5199	0.27209264039993286
5239	0.2776161730289459
5279	0.27796781063079834
5319	0.27539366483688354
5359	0.2781762480735779
5399	0.27911576628685
5439	0.27464064955711365
5479	0.2769792675971985
5519	0.27706652879714966
5559	0.2775780260562897
5599	0.277681827545166
5639	0.27931222319602966
5679	0.2741074562072754
5719	0.2764998972415924
5759	0.2813566327095032
5799	0.2758190929889679
5839	0.27675265073776245
5879	0.2749229371547699
5919	0.2744678556919098
5959	0.27669504284858704
5999	0.27347052097320557
6039	0.2798324227333069
6079	0.27907586097717285
6119	0.27867382764816284
6159	0.2757995128631592
6199	0.27937400341033936
6239	0.2760697901248932
6279	0.2781144082546234
6319	0.278910756111145
6359	0.27404722571372986
6399	0.28102776408195496
6439	0.2768264412879944
6479	0.27044400572776794
6519	0.2797934412956238
6559	0.27938854694366455
6599	0.27811041474342346
6639	0.27929720282554626
6679	0.275729775428772
6719	0.27932244539260864
6759	0.2777979373931885
6799	0.2735801637172699
6839	0.2775072455406189
6879	0.2801450788974762
6919	0.2801545560359955
6959	0.27860650420188904
6999	0.28240272402763367
7039	0.27431148290634155
7079	0.2800256907939911
7119	0.28048646450042725
7159	0.28038883209228516
7199	0.281864732503891
7239	0.2774072587490082
7279	0.27866148948669434
7319	0.27992314100265503
7359	0.2851893901824951
7399	0.28206872940063477
7439	0.27781200408935547
7479	0.2850419580936432
7519	0.2842234969139099
7559	0.27940618991851807
7599	0.279319703578949
7639	0.27564749121665955
7679	0.2801554799079895
7719	0.27863821387290955
7759	0.279335618019104
7799	0.2835400104522705
7839	0.2819063365459442
7879	0.2810610830783844
7919	0.28211715817451477
7959	0.2841659486293793
7999	0.2788803279399872
8039	0.27975812554359436
8079	0.27801787853240967
8119	0.28125452995300293
8159	0.2807675004005432
